Sample Number,CH-0,CH-1
1,0.004833984374999999,0.0056396484374999995
2,0.0024169921874999997,0.0024169921874999997
3,0.011279296874999999,0
4,0.0088623046875,0.0008056640625
5,0.0024169921874999997,0.0024169921874999997
6,0.00322265625,0
7,0.0064453125,0.0040283203125
8,0.0040283203125,0.0008056640625
9,0.00322265625,0.001611328125
10,0.0040283203125,0.0064453125
11,0.009667968749999999,0
12,0.0072509765625,0
13,0.0072509765625,0.00322265625
14,0.013696289062499999,0
15,0.00322265625,0.001611328125
16,0.0056396484374999995,0.0008056640625
17,0.009667968749999999,0
18,0.0064453125,0.001611328125
19,0.00322265625,0
20,0.0024169921874999997,0.0040283203125
21,0.0024169921874999997,0
22,0.0104736328125,0.0040283203125
23,0.0040283203125,0.0024169921874999997
24,0.004833984374999999,0
25,0.0088623046875,0
26,0.0088623046875,0.00322265625
27,0.004833984374999999,0
28,0.0346435546875,0.001611328125
29,0.0024169921874999997,0.0008056640625
30,0.0072509765625,0
31,0.0056396484374999995,0
32,0.0056396484374999995,0.001611328125
33,0.0072509765625,0.0008056640625
34,0.0088623046875,0
35,0.0024169921874999997,0.0024169921874999997
36,0.0040283203125,0.001611328125
37,0.004833984374999999,0
38,0.00322265625,0
39,0.0024169921874999997,0.004833984374999999
40,0.004833984374999999,0
41,0.0056396484374999995,0.001611328125
42,0.0104736328125,0.0072509765625
43,0.0024169921874999997,0
44,0.004833984374999999,0
45,0.0040283203125,0
46,0.0088623046875,0.0024169921874999997
47,0.004833984374999999,0
48,0.0104736328125,0
49,0.0120849609375,0
50,0.0064453125,0
51,0.0040283203125,0.0008056640625
52,0.0298095703125,0.0024169921874999997
53,0.0064453125,0.004833984374999999
54,0.00322265625,0.0064453125
55,0.008056640625,0.001611328125
56,0.0072509765625,0.0056396484374999995
57,0.0040283203125,0.0024169921874999997
58,0.014501953125,0
59,0.00322265625,0
60,0.00322265625,0
61,0.00322265625,0
62,0.0120849609375,0
63,0.0056396484374999995,0
64,0.008056640625,0.004833984374999999
65,0.0056396484374999995,0
66,0.0040283203125,0.0008056640625
67,0.008056640625,0.004833984374999999
68,0.013696289062499999,0.001611328125
69,0.00322265625,0.0008056640625
70,0.0040283203125,0
71,0.0104736328125,0
72,0.022558593749999998,0.001611328125
73,0.00322265625,0.0104736328125
74,0.008056640625,0
75,0.0040283203125,0.001611328125
76,0.004833984374999999,0.0024169921874999997
77,0.00322265625,0.0040283203125
78,0.0064453125,0.0008056640625
79,0.00322265625,0.0040283203125
80,0.004833984374999999,0.0024169921874999997
81,0.022558593749999998,0
82,0.0056396484374999995,0.0024169921874999997
83,0.0056396484374999995,0.004833984374999999
84,0.018530273437499998,0
85,0.0064453125,0.001611328125
86,0.0040283203125,0.004833984374999999
87,0.0040283203125,0.004833984374999999
88,0.0056396484374999995,0.0008056640625
89,0.004833984374999999,0
90,0.00322265625,0
91,0.0056396484374999995,0
92,0.008056640625,0
93,0.0056396484374999995,0.0024169921874999997
94,0.0008056640625,0.0008056640625
